item_id,music_tempo,audio_category,count,height,width,brightness,dif_brightness,E_1D,dif_E_1D,E_2D,dif_E_2D,contrast,dif_contrast,laplace_var,dif_laplace_var,color_cast,dif_color_cast,hue,dif_hue,saturation,dif_saturation,value,dif_value
755,126.0480183,Music,1192,1024,576,104.1538002,-1.791533888,,,12.52082853,0.019739932,60.9631316,-0.318330513,10300.66573,-122.6075515,0.938259236,0.003539087,75.99479167,-0.917489035,73.6875,-0.908305921,76.30208333,-0.675164474
911,112.3471467,Speech,1338,1024,576,108.1051062,2.09315195,,,12.01558373,0.004354461,56.09332158,0.266025308,4136.36568,-4.188787336,1.356120335,0.007947723,83.07291667,-0.014292636,81.80729167,-0.014534884,80.71354167,-0.123909884
955,65.41732595,Music,1245,1024,576,113.9674836,-0.092891439,,,12.49461456,0.001445121,64.9126742,0.131408576,18142.55134,239.7438441,0.526276276,-0.003939204,88.94270833,0.054817708,88.59375,0.04765625,86.02083333,-0.164322917
1668,139.6748311,Speech,1707,1024,576,103.1169143,-0.258303741,,,12.33741847,-0.001105303,66.66243876,-0.065506171,7246.150404,-34.75433526,1.668188149,0.012191532,68.55208333,-0.251231061,70.65625,-0.215530303,74.4375,-0.15530303
730,120.1853198,Music,1286,1024,576,120.2650282,-0.25459302,,,12.43897653,0.006463142,70.88415928,-0.033249182,11301.53566,75.81865311,0.501849631,-0.007225703,76.1875,-0.404090447,69.91666667,-0.542809959,75.40625,-0.419588415
684,161.4990234,Music,918,576,824,110.2215,-0.81533046,,,11.20381869,0.002682377,62.24451769,0.273232178,9610.458104,62.60112322,1.078276223,0.009620353,74.92,-0.276781609,76.32,-0.114482759,77.81333333,-0.008735632
472,147.65625,Music,1141,1024,576,139.7796567,-1.342205976,,,11.60671756,-0.019623221,53.70110917,-0.487858922,2653.170358,-191.9519735,2.346729078,0.029091122,88.77604167,0.329391892,87.71354167,0.287021396,88.57291667,0.348113739
1672,132.5120192,Music,911,1024,576,88.78724501,-0.610935255,,,10.95537116,-0.038737888,33.73077821,-0.130260378,5431.897317,-41.20616157,0.539149054,0.00312593,76.96354167,-0.103987069,75.84895833,-0.13362069,76,-0.11637931
1189,132.5120192,Speech,13277,576,1024,105.8229685,0.063836924,,,10.82992474,-7.40E-06,51.77892102,0.0144029,6672.878108,-13.06243228,1.371569612,-0.001002004,96.96666667,-0.125510204,96.05,-0.123393802,96.4,-0.119727891
1595,147.65625,Music,1121,1024,576,104.801186,0.166381836,,,12.16395454,0.002763351,70.30195169,0.534150029,10077.99979,193.2968579,1.125511764,-0.015910002,80.85416667,0.440972222,80.203125,0.441984954,79.140625,0.418258102
979,166.7086694,Music,974,1024,576,130.2710673,0.974819388,,,12.35148861,0.000447825,58.08240804,-0.433025101,10483.60831,200.6742401,1.196106301,0.012450042,99.40625,0.117607527,97.546875,0.041330645,99.578125,0.126512097
469,129.1992188,Music,1417,576,1024,126.1259752,0.131804801,,,10.88293226,9.91E-05,43.41988547,-0.30141139,13395.44794,-165.4350067,0.925193687,0.004203139,47,-0.830072464,48.65,-0.706521739,50.1,-0.63442029
1007,99.38401442,Speech,1246,1024,576,67.03796684,-0.887512207,,,11.03332938,-0.024929072,42.78948123,-0.415521966,6848.490132,42.48404376,0.748379157,-0.04096957,71.80729167,-0.714192708,69.23958333,-0.76484375,70.02604167,-0.734765625
328,95.703125,Speech,1050,1024,576,99.71291853,-0.065405752,,,12.43570722,0.001043107,45.01670951,-0.079169595,8169.290434,-12.93787014,0.382126169,0.00089153,85.765625,-0.161151961,87.26041667,-0.102175245,88.53645833,-0.075980392
138,120.1853198,Speech,899,1024,576,113.7271013,3.952206566,,,12.33222435,0.397113756,58.33383836,0.035610298,9807.316982,45.50508108,1.029708549,0.003670708,88.34895833,3.15531994,87.77083333,3.134672619,87.796875,3.135602679
446,123.046875,Speech,960,1024,576,183.8266551,-0.713294901,,,11.39117245,0.033020263,76.22602647,0.300533679,17534.78832,190.5431348,0.956731326,0.006546394,112.3802083,-0.147513441,112.4583333,-0.167002688,113.421875,-0.187331989
757,135.9991776,Speech,964,1024,576,117.2942759,0.005218834,,,12.22812692,-0.003427846,62.0804328,-0.178879955,5058.945962,-164.2745316,0.375940223,0.007850352,81.84895833,-0.277217742,82.296875,-0.314180108,81.55729167,-0.349966398
925,87.59269068,Others,1128,576,1024,90.2555884,-0.004875579,,,10.83071108,0.000115741,43.0450999,0.016259653,2678.305468,-2.267741812,1.733821949,0.00065448,50.91666667,-0.160648148,52,-0.128703704,51.2,-0.133333333
935,147.65625,Speech,1330,1024,576,90.75607392,-0.499458727,,,12.35014563,-0.002575999,68.8067445,0.33497994,10387.45129,-68.87728051,0.61456656,0.002606016,82.46354167,-0.14123062,83.71354167,0.018168605,84.58854167,0.040213178
1148,129.1992188,Music,9371,576,1024,86.62263288,0.124227961,,,10.88045576,8.83E-05,86.13634599,0.080649701,26780.16906,2.041050013,0.548790767,0.001017553,90.01666667,0.081243301,85.41666667,0.075777063,89.48333333,0.079099678
1558,143.5546875,Speech,1500,1024,576,33.67175781,-0.074766821,,,10.74734962,-0.015564283,22.99968115,-0.179036974,203.4747677,-37.87915266,0.936733275,-0.008365687,42.22916667,-0.226828231,42.49479167,-0.234056122,39.55208333,-0.266156463
1223,135.9991776,Speech,915,1024,576,84.4570855,-0.247277972,,,12.31432535,0.007157753,32.47460746,-0.112093019,2417.343352,4.882256153,0.856437046,-0.018093725,99.53645833,0.348060345,98.24479167,0.287895115,101.109375,0.363146552
